rank,family_type,selector,selector_bits,residue_count,selector_s2_branch_capacity,density_within_selector,selector_exact_for_u16,non_residual_s2_overinclude,m22_c1_c2_use,min_residue,max_residue,residues,residues_binary_msb_first,rationale
25,low_mod_bucket,r mod 2^15 = 5229,15,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,5229,37997,5229 37997,0001010001101101 1001010001101101,Short low-bit guard; useful first target for guarded rewriting.
26,low_mod_bucket,r mod 2^15 = 5885,15,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,5885,38653,5885 38653,0001011011111101 1001011011111101,Short low-bit guard; useful first target for guarded rewriting.
27,low_mod_bucket,r mod 2^15 = 6061,15,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,6061,38829,6061 38829,0001011110101101 1001011110101101,Short low-bit guard; useful first target for guarded rewriting.
28,low_mod_bucket,r mod 2^15 = 6333,15,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,6333,39101,6333 39101,0001100010111101 1001100010111101,Short low-bit guard; useful first target for guarded rewriting.
29,low_mod_bucket,r mod 2^15 = 6653,15,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,6653,39421,6653 39421,0001100111111101 1001100111111101,Short low-bit guard; useful first target for guarded rewriting.
30,low_mod_bucket,r mod 2^15 = 7277,15,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,7277,40045,7277 40045,0001110001101101 1001110001101101,Short low-bit guard; useful first target for guarded rewriting.
31,low_mod_bucket,r mod 2^15 = 7581,15,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,7581,40349,7581 40349,0001110110011101 1001110110011101,Short low-bit guard; useful first target for guarded rewriting.
32,low_mod_bucket,r mod 2^15 = 7845,15,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,7845,40613,7845 40613,0001111010100101 1001111010100101,Short low-bit guard; useful first target for guarded rewriting.
33,low_mod_bucket,r mod 2^15 = 8189,15,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,8189,40957,8189 40957,0001111111111101 1001111111111101,Short low-bit guard; useful first target for guarded rewriting.
34,low_mod_bucket,r mod 2^15 = 8829,15,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,8829,41597,8829 41597,0010001001111101 1010001001111101,Short low-bit guard; useful first target for guarded rewriting.
35,low_mod_bucket,r mod 2^15 = 8869,15,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,8869,41637,8869 41637,0010001010100101 1010001010100101,Short low-bit guard; useful first target for guarded rewriting.
36,low_mod_bucket,r mod 2^15 = 9149,15,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,9149,41917,9149 41917,0010001110111101 1010001110111101,Short low-bit guard; useful first target for guarded rewriting.
37,low_mod_bucket,r mod 2^15 = 9701,15,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,9701,42469,9701 42469,0010010111100101 1010010111100101,Short low-bit guard; useful first target for guarded rewriting.
38,low_mod_bucket,r mod 2^15 = 10109,15,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,10109,42877,10109 42877,0010011101111101 1010011101111101,Short low-bit guard; useful first target for guarded rewriting.
39,low_mod_bucket,r mod 2^15 = 10237,15,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,10237,43005,10237 43005,0010011111111101 1010011111111101,Short low-bit guard; useful first target for guarded rewriting.
40,low_mod_bucket,r mod 2^15 = 10917,15,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,10917,43685,10917 43685,0010101010100101 1010101010100101,Short low-bit guard; useful first target for guarded rewriting.
41,exact_branch_block,"branch_index in [908,909]",16,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,7269,7277,7269 7277,0001110001100101 0001110001101101,Exact adjacent S2 branch-index block; smallest no-slack family.
42,exact_branch_block,"branch_index in [1107,1108]",16,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,8861,8869,8861 8869,0010001010011101 0010001010100101,Exact adjacent S2 branch-index block; smallest no-slack family.
43,exact_branch_block,"branch_index in [1615,1616]",16,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,12925,12933,12925 12933,0011001001111101 0011001010000101,Exact adjacent S2 branch-index block; smallest no-slack family.
44,exact_branch_block,"branch_index in [2131,2132]",16,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,17053,17061,17053 17061,0100001010011101 0100001010100101,Exact adjacent S2 branch-index block; smallest no-slack family.
45,exact_branch_block,"branch_index in [2526,2527]",16,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,20213,20221,20213 20221,0100111011110101 0100111011111101,Exact adjacent S2 branch-index block; smallest no-slack family.
46,exact_branch_block,"branch_index in [2728,2729]",16,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,21829,21837,21829 21837,0101010101000101 0101010101001101,Exact adjacent S2 branch-index block; smallest no-slack family.
47,exact_branch_block,"branch_index in [2804,2805]",16,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,22437,22445,22437 22445,0101011110100101 0101011110101101,Exact adjacent S2 branch-index block; smallest no-slack family.
48,exact_branch_block,"branch_index in [2942,2943]",16,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,23541,23549,23541 23549,0101101111110101 0101101111111101,Exact adjacent S2 branch-index block; smallest no-slack family.
49,exact_branch_block,"branch_index in [3411,3412]",16,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,27293,27301,27293 27301,0110101010011101 0110101010100101,Exact adjacent S2 branch-index block; smallest no-slack family.
50,exact_branch_block,"branch_index in [4094,4095]",16,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,32757,32765,32757 32765,0111111111110101 0111111111111101,Exact adjacent S2 branch-index block; smallest no-slack family.
51,msb_prefix,msb_prefix_4 = 0110,4,24,512,0.046875000000,False,488,exploratory queue only; fails C2 if used alone,24941,28669,24941 25213 25253 25405 25477 25581 25597 25853 25885 26365 26493 26621 27293 27301 27453 27501 27549 27581 27645 27757 27773 28037 28581 28669,0110000101101101 0110001001111101 0110001010100101 0110001100111101 0110001110000101 0110001111101101 0110001111111101 0110010011111101 0110010100011101 0110011011111101 0110011101111101 0110011111111101 0110101010011101 0110101010100101 0110101100111101 0110101101101101 0110101110011101 0110101110111101 0110101111111101 0110110001101101 0110110001111101 0110110110000101 0110111110100101 0110111111111101,Coarse contiguous region in the 16-bit residue space.
52,msb_prefix,msb_prefix_4 = 0101,4,23,512,0.044921875000,False,489,exploratory queue only; fails C2 if used alone,20589,24573,20589 20989 21029 21437 21789 21829 21837 21917 22141 22269 22437 22445 22693 22717 23037 23165 23541 23549 23661 23965 23997 24485 24573,0101000001101101 0101000111111101 0101001000100101 0101001110111101 0101010100011101 0101010101000101 0101010101001101 0101010110011101 0101011001111101 0101011011111101 0101011110100101 0101011110101101 0101100010100101 0101100010111101 0101100111111101 0101101001111101 0101101111110101 0101101111111101 0101110001101101 0101110110011101 0101110110111101 0101111110100101 0101111111111101,Coarse contiguous region in the 16-bit residue space.
53,msb_prefix,msb_prefix_4 = 0000,4,22,512,0.042968750000,False,490,exploratory queue only; fails C2 if used alone,125,4093,125 445 669 893 1133 1309 1341 1701 1981 2045 2557 2669 2725 2813 3181 3229 3485 3557 3749 3837 4005 4093,0000000001111101 0000000110111101 0000001010011101 0000001101111101 0000010001101101 0000010100011101 0000010100111101 0000011010100101 0000011110111101 0000011111111101 0000100111111101 0000101001101101 0000101010100101 0000101011111101 0000110001101101 0000110010011101 0000110110011101 0000110111100101 0000111010100101 0000111011111101 0000111110100101 0000111111111101,Coarse contiguous region in the 16-bit residue space.
54,msb_prefix,msb_prefix_4 = 0010,4,22,512,0.042968750000,False,490,exploratory queue only; fails C2 if used alone,8413,12285,8413 8445 8605 8621 8829 8861 8869 8893 9149 9501 9701 10109 10237 10461 10917 11373 11773 12029 12125 12197 12221 12285,0010000011011101 0010000011111101 0010000110011101 0010000110101101 0010001001111101 0010001010011101 0010001010100101 0010001010111101 0010001110111101 0010010100011101 0010010111100101 0010011101111101 0010011111111101 0010100011011101 0010101010100101 0010110001101101 0010110111111101 0010111011111101 0010111101011101 0010111110100101 0010111110111101 0010111111111101,Coarse contiguous region in the 16-bit residue space.
55,msb_prefix,msb_prefix_4 = 0100,4,22,512,0.042968750000,False,490,exploratory queue only; fails C2 if used alone,16933,20477,16933 17021 17053 17061 17389 17661 17741 18045 18301 18333 18365 18429 19053 19109 19389 19405 19453 19741 19949 20213 20221 20477,0100001000100101 0100001001111101 0100001010011101 0100001010100101 0100001111101101 0100010011111101 0100010101001101 0100011001111101 0100011101111101 0100011110011101 0100011110111101 0100011111111101 0100101001101101 0100101010100101 0100101110111101 0100101111001101 0100101111111101 0100110100011101 0100110111101101 0100111011110101 0100111011111101 0100111111111101,Coarse contiguous region in the 16-bit residue space.
56,msb_prefix,msb_prefix_4 = 0111,4,22,512,0.042968750000,False,490,exploratory queue only; fails C2 if used alone,29109,32765,29109 29181 29341 29629 29693 29925 30109 30461 30717 30829 30885 31229 31357 31397 31549 31741 31853 32157 32509 32685 32757 32765,0111000110110101 0111000111111101 0111001010011101 0111001110111101 0111001111111101 0111010011100101 0111010110011101 0111011011111101 0111011111111101 0111100001101101 0111100010100101 0111100111111101 0111101001111101 0111101010100101 0111101100111101 0111101111111101 0111110001101101 0111110110011101 0111111011111101 0111111110101101 0111111111110101 0111111111111101,Coarse contiguous region in the 16-bit residue space.
57,msb_prefix,msb_prefix_4 = 1011,4,22,512,0.042968750000,False,490,exploratory queue only; fails C2 if used alone,45181,49149,45181 45389 45469 45565 45693 46013 46061 46109 46189 46333 46493 47101 47325 47613 47781 48061 48125 48237 48541 48805 49141 49149,1011000001111101 1011000101001101 1011000110011101 1011000111111101 1011001001111101 1011001110111101 1011001111101101 1011010000011101 1011010001101101 1011010011111101 1011010110011101 1011011111111101 1011100011011101 1011100111111101 1011101010100101 1011101110111101 1011101111111101 1011110001101101 1011110110011101 1011111010100101 1011111111110101 1011111111111101,Coarse contiguous region in the 16-bit residue space.
58,msb_prefix,msb_prefix_4 = 1110,4,21,512,0.041015625000,False,491,exploratory queue only; fails C2 if used alone,57709,61437,57709 57981 58245 58301 58653 58853 59053 59133 59325 59381 59389 59837 60013 60069 60317 60525 60925 61213 61349 61429 61437,1110000101101101 1110001001111101 1110001110000101 1110001110111101 1110010100011101 1110010111100101 1110011010101101 1110011011111101 1110011110111101 1110011111110101 1110011111111101 1110100110111101 1110101001101101 1110101010100101 1110101110011101 1110110001101101 1110110111111101 1110111100011101 1110111110100101 1110111111110101 1110111111111101,Coarse contiguous region in the 16-bit residue space.
59,msb_prefix,msb_prefix_4 = 1001,4,20,512,0.039062500000,False,492,exploratory queue only; fails C2 if used alone,36973,40957,36973 36989 37541 37821 37997 38109 38653 38781 38829 38909 39077 39101 39421 39549 39589 40045 40349 40613 40949 40957,1001000001101101 1001000001111101 1001001010100101 1001001110111101 1001010001101101 1001010011011101 1001011011111101 1001011101111101 1001011110101101 1001011111111101 1001100010100101 1001100010111101 1001100111111101 1001101001111101 1001101010100101 1001110001101101 1001110110011101 1001111010100101 1001111111110101 1001111111111101,Coarse contiguous region in the 16-bit residue space.
60,msb_prefix,msb_prefix_5 = 10100,5,15,256,0.058593750000,False,241,exploratory queue only; fails C2 if used alone,41253,43005,41253 41325 41405 41469 41597 41637 41861 41917 42061 42397 42469 42605 42749 42877 43005,1010000100100101 1010000101101101 1010000110111101 1010000111111101 1010001001111101 1010001010100101 1010001110000101 1010001110111101 1010010001001101 1010010110011101 1010010111100101 1010011001101101 1010011011111101 1010011101111101 1010011111111101,Coarse contiguous region in the 16-bit residue space.
61,msb_prefix,msb_prefix_5 = 00110,5,14,256,0.054687500000,False,242,exploratory queue only; fails C2 if used alone,12397,14269,12397 12669 12701 12797 12909 12925 12933 13245 13309 13477 13725 14077 14253 14269,0011000001101101 0011000101111101 0011000110011101 0011000111111101 0011001001101101 0011001001111101 0011001010000101 0011001110111101 0011001111111101 0011010010100101 0011010110011101 0011011011111101 0011011110101101 0011011110111101,Coarse contiguous region in the 16-bit residue space.
62,msb_prefix,msb_prefix_5 = 10000,5,14,256,0.054687500000,False,242,exploratory queue only; fails C2 if used alone,32877,34813,32877 32957 33133 33213 33253 33405 33437 33669 33773 34045 34557 34733 34781 34813,1000000001101101 1000000010111101 1000000101101101 1000000110111101 1000000111100101 1000001001111101 1000001010011101 1000001110000101 1000001111101101 1000010011111101 1000011011111101 1000011110101101 1000011111011101 1000011111111101,Coarse contiguous region in the 16-bit residue space.
63,msb_prefix,msb_prefix_5 = 11001,5,14,256,0.054687500000,False,242,exploratory queue only; fails C2 if used alone,51365,53245,51365 51565 51709 51773 51821 51837 51965 52101 52133 52157 52221 52637 52733 53245,1100100010100101 1100100101101101 1100100111111101 1100101000111101 1100101001101101 1100101001111101 1100101011111101 1100101110000101 1100101110100101 1100101110111101 1100101111111101 1100110110011101 1100110111111101 1100111111111101,Coarse contiguous region in the 16-bit residue space.
64,msb_prefix,msb_prefix_5 = 00010,5,13,256,0.050781250000,False,243,exploratory queue only; fails C2 if used alone,4205,6061,4205 4221 4645 4845 5053 5117 5229 5453 5605 5629 5757 5885 6061,0001000001101101 0001000001111101 0001001000100101 0001001011101101 0001001110111101 0001001111111101 0001010001101101 0001010101001101 0001010111100101 0001010111111101 0001011001111101 0001011011111101 0001011110101101,Coarse contiguous region in the 16-bit residue space.
65,msb_prefix,msb_prefix_5 = 00100,5,13,256,0.050781250000,False,243,exploratory queue only; fails C2 if used alone,8413,10237,8413 8445 8605 8621 8829 8861 8869 8893 9149 9501 9701 10109 10237,0010000011011101 0010000011111101 0010000110011101 0010000110101101 0010001001111101 0010001010011101 0010001010100101 0010001010111101 0010001110111101 0010010100011101 0010010111100101 0010011101111101 0010011111111101,Coarse contiguous region in the 16-bit residue space.
66,msb_prefix,msb_prefix_5 = 00111,5,13,256,0.050781250000,False,243,exploratory queue only; fails C2 if used alone,14525,16381,14525 14557 14845 14885 14957 15165 15357 15693 15725 15773 15997 16261 16381,0011100010111101 0011100011011101 0011100111111101 0011101000100101 0011101001101101 0011101100111101 0011101111111101 0011110101001101 0011110101101101 0011110110011101 0011111001111101 0011111110000101 0011111111111101,Coarse contiguous region in the 16-bit residue space.
67,msb_prefix,msb_prefix_5 = 01111,5,13,256,0.050781250000,False,243,exploratory queue only; fails C2 if used alone,30829,32765,30829 30885 31229 31357 31397 31549 31741 31853 32157 32509 32685 32757 32765,0111100001101101 0111100010100101 0111100111111101 0111101001111101 0111101010100101 0111101100111101 0111101111111101 0111110001101101 0111110110011101 0111111011111101 0111111110101101 0111111111110101 0111111111111101,Coarse contiguous region in the 16-bit residue space.
68,msb_prefix,msb_prefix_5 = 11010,5,13,256,0.050781250000,False,243,exploratory queue only; fails C2 if used alone,53373,55101,53373 53613 53661 53797 53885 54149 54173 54205 54381 54605 54909 55037 55101,1101000001111101 1101000101101101 1101000110011101 1101001000100101 1101001001111101 1101001110000101 1101001110011101 1101001110111101 1101010001101101 1101010101001101 1101011001111101 1101011011111101 1101011100111101,Coarse contiguous region in the 16-bit residue space.
69,msb_prefix,msb_prefix_5 = 11110,5,13,256,0.050781250000,False,243,exploratory queue only; fails C2 if used alone,61853,63485,61853 61885 61989 62077 62205 62381 62461 62653 62797 63093 63101 63229 63485,1111000110011101 1111000110111101 1111001000100101 1111001001111101 1111001011111101 1111001110101101 1111001111111101 1111010010111101 1111010101001101 1111011001110101 1111011001111101 1111011011111101 1111011111111101,Coarse contiguous region in the 16-bit residue space.
70,msb_prefix,msb_prefix_5 = 00001,5,12,256,0.046875000000,False,244,exploratory queue only; fails C2 if used alone,2557,4093,2557 2669 2725 2813 3181 3229 3485 3557 3749 3837 4005 4093,0000100111111101 0000101001101101 0000101010100101 0000101011111101 0000110001101101 0000110010011101 0000110110011101 0000110111100101 0000111010100101 0000111011111101 0000111110100101 0000111111111101,Coarse contiguous region in the 16-bit residue space.
71,xor_overlap_family,r in U and r xor 2^4 in U,5,16,16,1.000000000000,False,0,diagnostic overlap only; not a standalone C2 guard,4205,51837,4205 4221 8173 8189 12909 12925 14253 14269 25581 25597 27757 27773 36973 36989 51821 51837,0001000001101101 0001000001111101 0001111111101101 0001111111111101 0011001001101101 0011001001111101 0011011110101101 0011011110111101 0110001111101101 0110001111111101 0110110001101101 0110110001111101 1001000001101101 1001000001111101 1100101001101101 1100101001111101,Exact paired family suggested by a bit-toggle overlap.
72,xor_overlap_family,r in U and r xor 2^5 in U,6,24,24,1.000000000000,False,0,diagnostic overlap only; not a standalone C2 guard,1309,61885,1309 1341 8413 8445 8861 8893 15693 15725 18333 18365 23965 23997 27549 27581 34781 34813 35741 35773 52101 52133 54173 54205 61853 61885,0000010100011101 0000010100111101 0010000011011101 0010000011111101 0010001010011101 0010001010111101 0011110101001101 0011110101101101 0100011110011101 0100011110111101 0101110110011101 0101110110111101 0110101110011101 0110101110111101 1000011111011101 1000011111111101 1000101110011101 1000101110111101 1100101110000101 1100101110100101 1101001110011101 1101001110111101 1111000110011101 1111000110111101,Exact paired family suggested by a bit-toggle overlap.
