challenge,rulefile,interpretation,dimension,result_width,remove_any,solver_timeout,workers,tries,wall_timeout,status,return_code,elapsed_seconds,has_qed,has_sat,variables,clauses,sat_attempt,sat_seconds,log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,natural,3,5,True,30,4,1,60,ERROR,1,0.247,False,False,6395,44259,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_natural_d3_rw5.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,arctic,1,2,True,30,4,1,60,ERROR,1,0.136,False,False,42,102,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_arctic_d1_rw2.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,arctic,1,3,True,30,4,1,60,ERROR,1,0.134,False,False,73,251,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_arctic_d1_rw3.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,arctic,1,4,True,30,4,1,60,ERROR,1,0.135,False,False,104,448,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_arctic_d1_rw4.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,arctic,1,5,True,30,4,1,60,ERROR,1,0.137,False,False,135,693,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_arctic_d1_rw5.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,arctic,2,2,True,30,4,1,60,ERROR,1,0.140,False,False,327,960,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_arctic_d2_rw2.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,arctic,2,3,True,30,4,1,60,ERROR,1,0.146,False,False,643,2420,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_arctic_d2_rw3.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,arctic,2,4,True,30,4,1,60,ERROR,1,0.152,False,False,959,4264,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_arctic_d2_rw4.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,arctic,2,5,True,30,4,1,60,ERROR,1,0.159,False,False,1275,6492,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_arctic_d2_rw5.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,arctic,3,2,True,30,4,1,60,ERROR,1,0.147,False,False,1154,3446,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_arctic_d3_rw2.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,arctic,3,3,True,30,4,1,60,ERROR,1,0.163,False,False,2297,8675,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_arctic_d3_rw3.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,arctic,3,4,True,30,4,1,60,ERROR,1,0.180,False,False,3440,15200,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_arctic_d3_rw4.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,arctic,3,5,True,30,4,1,60,ERROR,1,0.197,False,False,4583,23021,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_arctic_d3_rw5.log
